1897,21,5
1893,21,3
1883,22,0
1788,22,3
1735,22,5
1748,22,2
1792,22,6
1725,22,1
1749,22,7
1764,22,9
1808,22,4
1853,22,8
1909,23,0
2085,23,3
2087,23,2
2126,23,6
1957,23,1
2018,23,5
2105,23,9
2001,23,7
2145,23,4
2061,23,8
2112,24,2
2074,24,3
2120,24,1
2117,24,6
2120,24,7
2134,24,8
2180,24,4
2102,24,5
2140,24,9
2214,25,4
2195,25,6
2180,25,8
2154,25,3
2130,25,7
2156,25,2
2174,25,9
2197,25,1
2136,25,5
2155,26,5
2233,26,4
2193,26,7
2173,26,3
2153,26,1
2175,26,2
2149,26,9
2169,26,8
2214,26,6
2185,27,4
2155,27,5
2149,27,7
2081,27,3
2153,27,1
2171,27,2
2189,27,9
2213,27,8
2166,27,6
2125,28,3
2107,28,5
2145,28,7
2166,28,6
2127,28,2
2109,28,1
2145,28,9
2145,28,8
2185,28,4
2110,29,7
2128,29,9
2144,29,6
2144,29,2
2109,29,1
2128,29,8
2172,29,4
2108,29,3
2125,29,5
2217,30,8
2201,30,9
2197,30,7
2199,30,2
2197,30,1
2197,30,3
2182,30,6
2179,30,5
2277,30,4
2095,31,7
2099,31,6
2095,31,2
2095,31,1
2097,31,8
2097,31,3
2117,31,9
2093,31,5
2097,31,4
1840,32,7
1842,32,6
1821,32,2
1861,32,1
1837,32,8
1817,32,3
1803,32,5
1857,32,9
2057,32,4
2201,33,9
2401,33,4
2131,33,7
2137,33,6
2201,33,8
2145,33,1
2181,33,3
2217,33,2
2163,33,5
2164,34,9
2177,34,6
2214,34,3
2200,34,2
2219,34,7
2180,34,5
2135,34,1
2218,34,8
2418,34,4
2166,35,3
2216,35,2
2235,35,7
2234,35,9
2216,35,6
2210,35,1
2230,35,8
2171,35,5
2434,35,4
2267,36,3
2193,36,9
2221,36,2
2261,36,1
2261,36,7
2219,36,8
2198,36,6
2201,36,5
2259,36,4
2261,37,7
2219,37,3
2251,37,8
2177,37,2
2237,37,9
2201,37,5
2242,37,6
2259,37,4
2311,37,1
2264,38,8
2306,38,7
2344,38,2
2344,38,9
2218,38,3
2324,38,4
2327,38,1
2260,38,6
2268,38,5
2315,39,8
2361,39,3
2399,39,1
2378,39,7
2304,39,6
2319,39,5
2375,39,4
2317,39,2
2395,39,9
2298,40,8
2361,40,7
2321,40,6
2294,40,3
2300,40,2
2338,40,1
2312,40,4
2302,40,5
2360,40,9
2185,41,2
2139,41,8
2219,41,3
2229,41,1
2229,41,7
2231,41,4
2185,41,6
2227,41,5
2234,41,9
2053,42,2
2101,42,1
1931,42,3
2040,42,6
2037,42,7
2043,42,8
2077,42,4
2033,42,5
2032,42,9
2358,43,6
2335,43,8
2291,43,2
2339,43,1
2315,43,3
2339,43,7
2395,43,4
2361,43,5
2396,43,9
2314,44,6
2361,44,5
2315,44,3
2419,44,1
2337,44,2
2305,44,8
2419,44,7
2390,44,4
2376,44,9
2304,45,3
2328,45,2
2460,45,7
2377,45,6
2370,45,8
2396,45,5
2454,45,1
2410,45,9
2390,45,4
2378,46,3
2430,46,8
2404,46,6
2460,46,7
2482,46,1
2400,46,2
2438,46,9
2424,46,5
2418,46,4
2453,47,9
2384,47,8
2460,47,5
2475,47,7
2454,47,4
2497,47,1
2449,47,2
2413,47,3
2360,47,6
2488,48,4
2448,48,8
2510,48,7
2448,48,3
2496,48,6
2534,48,1
2450,48,2
2488,48,9
2495,48,5
2478,49,5
2471,49,4
2471,49,9
2514,49,7
2402,49,3
2452,49,6
2433,49,2
2458,49,1
2431,49,8
2454,50,9
2450,50,5
2462,50,6
2497,50,7
2414,50,3
2458,50,1
2414,50,8
2454,50,4
2416,50,2
2364,51,3
2347,51,7
2366,51,6
2345,51,1
2315,51,5
2347,51,8
2347,51,9
2347,51,4
2345,51,2
2117,52,3
2175,52,7
2203,52,6
2096,52,5
2111,52,9
2130,52,2
2132,52,4
2092,52,8
2138,52,1
2521,53,7
2486,53,2
2500,53,8
2438,53,3
2442,53,5
2528,53,1
2505,53,6
2484,53,9
2486,53,4
2546,54,7
2530,54,1
2506,54,3
2518,54,8
2488,54,5
2595,54,6
2486,54,9
2486,54,4
2488,54,2
2578,55,7
2582,55,1
2518,55,8
2512,55,3
2559,55,6
2540,55,2
2538,55,4
2518,55,9
2520,55,5
2578,56,7
2562,56,1
2472,56,8
2558,56,3
2559,56,6
2520,56,5
2554,56,2
2518,56,9
2502,56,4
2549,57,7
2575,57,1
2535,57,8
2537,57,5
2575,57,3
2533,57,9
2536,57,4
2539,57,6
2537,57,2
2575,58,7
2504,58,1
2555,58,8
2575,58,3
2600,58,6
2537,58,2
2525,58,5
2516,58,9
2490,58,4
2563,59,7
2630,59,1
2543,59,8
2543,59,3
2504,59,9
2550,59,6
2525,59,2
2571,59,5
2570,59,4
2638,60,1
2572,60,8
2533,60,9
2596,60,6
2572,60,3
2554,60,5
2559,60,2
2592,60,7
2553,60,4
2500,61,1
2502,61,8
2500,61,5
2500,61,9
2466,61,6
2502,61,3
2502,61,7
2470,61,2
2500,61,4
2335,62,6
2243,62,7
2293,62,2
2272,62,9
2295,62,8
2356,62,1
2247,62,5
2295,62,3
2273,62,4
2620,63,1
2553,63,9
2574,63,6
2555,63,7
2575,63,8
2532,63,2
2511,63,5
2600,63,4
2575,63,3
2637,64,6
2592,64,3
2572,64,7
2528,64,9
2545,64,1
2532,64,2
2574,64,5
2617,64,4
2592,64,8
2595,65,2
2574,65,5
2572,65,7
2553,65,9
2637,65,1
2666,65,6
2592,65,8
2592,65,3
2617,65,4
2624,66,2
2603,66,5
2617,66,7
2582,66,9
2666,66,1
2666,66,6
2621,66,8
2621,66,3
2646,66,4
2598,67,9
2640,67,2
2629,67,3
2617,67,7
2682,67,6
2619,67,5
2613,67,8
2682,67,1
2662,67,4
2695,68,1
2685,68,2
2695,68,6
2629,68,3
